Age,BusinessTravel,DailyRate,CostOfHiring,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,Travel_Frequently,530,16204,Research & Development,Master,Life Sciences,High,Male,Healthcare Representative,Medium,Married,13503,1,No,Outstanding,22,3,22,11,11,No
51,Travel_Rarely,632,6529,Sales,Master,Marketing,High,Male,Sales Executive,Very High,Single,5441,0,Yes,Outstanding,11,2,10,1,0,No
30,Travel_Rarely,1334,6251,Sales,College,Medical,High,Female,Sales Executive,Medium,Divorced,5209,1,Yes,Excellent,11,4,11,2,7,No
46,Travel_Frequently,638,12808,Research & Development,Bachelor,Medical,High,Male,Healthcare Representative,Low,Married,10673,2,Yes,Excellent,21,5,10,9,5,No
32,Travel_Rarely,1093,6012,Sales,Master,Medical,Medium,Male,Sales Executive,High,Single,5010,1,No,Excellent,12,0,11,5,7,No
54,Travel_Rarely,1217,16259,Research & Development,Master,Technical Degree,Low,Female,Research Director,High,Married,13549,9,No,Excellent,16,5,4,0,3,No
24,Travel_Rarely,1353,5999,Sales,College,Other,Low,Female,Sales Executive,High,Married,4999,0,No,Outstanding,4,2,3,0,2,No
28,Non-Travel,120,5065,Sales,Bachelor,Medical,Medium,Male,Sales Executive,High,Married,4221,1,No,Excellent,5,3,5,0,4,No
58,Travel_Rarely,682,16646,Sales,Master,Medical,Very High,Male,Sales Executive,High,Single,13872,0,No,Excellent,38,1,37,1,8,No
44,Non-Travel,489,2450,Research & Development,Bachelor,Medical,Medium,Male,Laboratory Technician,Medium,Married,2042,4,No,Excellent,17,3,3,1,2,No
37,Travel_Rarely,807,2488,Human Resources,Master,Human Resources,High,Male,Human Resources,Low,Divorced,2073,4,Yes,Outstanding,7,3,3,0,2,Yes
32,Travel_Rarely,827,3547,Research & Development,Below College,Life Sciences,Very High,Male,Research Scientist,Low,Single,2956,1,No,Excellent,1,2,1,0,0,No
20,Travel_Frequently,871,3511,Research & Development,Bachelor,Life Sciences,Very High,Female,Laboratory Technician,Very High,Single,2926,1,Yes,Excellent,1,5,1,1,0,Yes
34,Travel_Rarely,665,5771,Research & Development,Master,Other,Low,Female,Research Scientist,High,Single,4809,1,No,Excellent,16,3,16,2,10,No
37,Non-Travel,1040,6196,Research & Development,College,Life Sciences,High,Male,Healthcare Representative,Very High,Divorced,5163,5,No,Excellent,17,2,1,0,0,No
59,Non-Travel,1420,22613,Human Resources,Master,Human Resources,High,Female,Manager,Very High,Married,18844,9,No,Outstanding,30,3,3,2,2,No
50,Travel_Frequently,1115,21806,Research & Development,Bachelor,Life Sciences,Low,Female,Research Director,Medium,Married,18172,3,Yes,Excellent,28,1,8,0,7,No
25,Travel_Rarely,240,6893,Sales,Bachelor,Marketing,High,Male,Sales Executive,High,Single,5744,1,Yes,Excellent,6,1,6,0,3,Yes
25,Travel_Rarely,1280,3467,Research & Development,Below College,Medical,Very High,Male,Research Scientist,Very High,Married,2889,1,No,Excellent,2,2,2,2,1,No
22,Travel_Rarely,534,3445,Research & Development,Bachelor,Medical,Medium,Female,Laboratory Technician,Very High,Single,2871,1,No,Excellent,1,5,0,0,0,No
51,Travel_Frequently,1456,8981,Research & Development,Master,Medical,Low,Female,Healthcare Representative,Low,Single,7484,3,No,Outstanding,23,1,13,12,8,No
34,Travel_Frequently,658,7289,Research & Development,Bachelor,Life Sciences,Low,Male,Laboratory Technician,High,Single,6074,1,Yes,Outstanding,9,3,9,0,6,Yes
54,Non-Travel,142,20794,Human Resources,Bachelor,Human Resources,Very High,Female,Manager,Very High,Single,17328,2,Yes,Excellent,23,3,5,4,4,No
24,Travel_Rarely,1127,3329,Research & Development,Below College,Life Sciences,Medium,Male,Laboratory Technician,High,Married,2774,0,No,Excellent,6,2,5,1,2,No
34,Travel_Rarely,1031,5406,Research & Development,Master,Life Sciences,High,Female,Research Scientist,Medium,Divorced,4505,6,No,Excellent,12,3,1,0,0,No
37,Travel_Rarely,1189,8914,Sales,Bachelor,Life Sciences,High,Male,Sales Executive,Very High,Single,7428,2,No,Excellent,12,3,5,1,3,No
34,Travel_Rarely,1354,13957,Research & Development,Bachelor,Medical,High,Female,Manager,Low,Single,11631,2,No,Excellent,14,6,11,5,8,No
36,Travel_Frequently,1467,11686,Sales,College,Technical Degree,Medium,Female,Sales Executive,Very High,Married,9738,0,No,Excellent,10,6,9,2,8,No
36,Travel_Rarely,922,3402,Research & Development,College,Life Sciences,Low,Female,Laboratory Technician,Very High,Divorced,2835,5,No,Outstanding,7,2,1,0,0,No
43,Travel_Frequently,394,20351,Sales,College,Life Sciences,High,Male,Manager,Very High,Married,16959,1,Yes,Excellent,25,3,25,4,12,No
30,Travel_Frequently,1312,3136,Research & Development,Bachelor,Life Sciences,Low,Male,Research Scientist,High,Divorced,2613,1,No,Outstanding,10,2,10,0,9,No
33,Non-Travel,750,7375,Sales,College,Marketing,High,Male,Sales Executive,Medium,Married,6146,0,No,Excellent,8,2,7,0,7,No
56,Travel_Rarely,441,5956,Research & Development,Master,Life Sciences,Medium,Female,Research Scientist,Medium,Married,4963,9,Yes,Excellent,7,2,5,4,3,Yes
51,Travel_Rarely,684,23444,Research & Development,Bachelor,Life Sciences,Low,Male,Research Director,High,Single,19537,7,No,Excellent,23,5,20,15,15,No
31,Travel_Rarely,249,7406,Sales,Master,Life Sciences,Medium,Male,Sales Executive,High,Married,6172,4,Yes,Excellent,12,3,7,7,7,Yes
26,Travel_Rarely,841,2842,Research & Development,Bachelor,Other,High,Female,Research Scientist,Medium,Married,2368,1,No,Excellent,5,3,5,4,3,No
58,Travel_Rarely,147,12374,Research & Development,Master,Medical,Very High,Female,Healthcare Representative,Very High,Married,10312,1,No,Excellent,40,3,40,15,6,Yes
19,Travel_Rarely,528,2010,Sales,Below College,Marketing,Very High,Male,Sales Representative,High,Single,1675,1,Yes,Excellent,0,2,0,0,0,Yes
22,Travel_Rarely,594,3028,Research & Development,Below College,Technical Degree,High,Male,Laboratory Technician,Very High,Married,2523,0,No,Excellent,3,2,2,2,1,No
49,Travel_Rarely,470,7880,Research & Development,Master,Medical,High,Female,Manufacturing Director,Low,Married,6567,1,No,Excellent,16,2,15,5,11,No
43,Travel_Frequently,957,5687,Research & Development,Bachelor,Medical,Medium,Female,Research Scientist,High,Single,4739,4,No,Excellent,18,2,3,1,2,No
50,Travel_Frequently,809,11050,Sales,Bachelor,Marketing,High,Female,Sales Executive,Very High,Single,9208,4,No,Excellent,16,3,2,2,1,No
31,Travel_Rarely,542,5471,Sales,Bachelor,Life Sciences,Medium,Female,Sales Executive,High,Married,4559,3,Yes,Excellent,4,2,2,2,2,Yes
41,Travel_Rarely,802,9827,Sales,Below College,Life Sciences,High,Male,Sales Executive,High,Divorced,8189,3,Yes,Excellent,12,2,9,0,7,No
26,Travel_Rarely,1355,3530,Human Resources,Below College,Life Sciences,High,Female,Human Resources,High,Married,2942,1,No,Outstanding,8,3,8,5,7,No
36,Travel_Rarely,216,5929,Research & Development,College,Medical,Medium,Male,Manufacturing Director,Medium,Divorced,4941,6,No,Outstanding,7,0,3,0,1,No
51,Travel_Frequently,1150,12780,Research & Development,Master,Life Sciences,Low,Male,Manufacturing Director,Very High,Single,10650,2,No,Excellent,18,2,4,0,3,Yes
39,Travel_Rarely,1329,7082,Sales,Master,Life Sciences,Very High,Female,Sales Executive,High,Married,5902,4,No,Excellent,17,1,15,5,9,No
25,Travel_Rarely,959,10367,Sales,Bachelor,Life Sciences,Low,Male,Sales Executive,High,Married,8639,2,No,Excellent,6,3,2,2,2,No
30,Travel_Rarely,1240,7616,Human Resources,Bachelor,Human Resources,High,Male,Human Resources,Very High,Married,6347,0,Yes,Excellent,12,2,11,4,7,No
32,Travel_Rarely,1033,5040,Research & Development,Bachelor,Medical,Low,Female,Laboratory Technician,Low,Single,4200,7,No,Outstanding,10,2,5,0,4,Yes
45,Travel_Rarely,1316,4142,Research & Development,Bachelor,Medical,High,Male,Research Scientist,Very High,Single,3452,5,No,Excellent,9,2,6,0,3,No
38,Travel_Rarely,364,5180,Research & Development,Doctor,Technical Degree,Very High,Female,Research Scientist,High,Single,4317,3,Yes,Outstanding,19,2,3,2,2,No
30,Travel_Rarely,438,3158,Research & Development,Bachelor,Life Sciences,Low,Female,Research Scientist,High,Single,2632,1,No,Excellent,5,4,5,0,4,No
32,Travel_Frequently,689,5602,Sales,College,Medical,Very High,Male,Sales Executive,Very High,Divorced,4668,0,No,Excellent,9,2,8,0,7,No
30,Travel_Rarely,201,3845,Research & Development,Bachelor,Technical Degree,Very High,Female,Research Scientist,Low,Divorced,3204,5,No,Excellent,8,3,3,2,2,No
30,Travel_Rarely,1427,3264,Research & Development,Below College,Medical,Medium,Male,Laboratory Technician,Very High,Single,2720,0,No,Excellent,6,3,5,1,2,No
41,Travel_Frequently,857,20617,Research & Development,Bachelor,Life Sciences,Very High,Male,Manager,Low,Divorced,17181,4,No,Excellent,21,2,7,7,7,No
41,Travel_Rarely,933,2686,Research & Development,Master,Life Sciences,High,Male,Laboratory Technician,Low,Married,2238,2,No,Outstanding,7,2,5,1,4,No
19,Travel_Rarely,1181,1780,Research & Development,Below College,Medical,Medium,Female,Laboratory Technician,Medium,Single,1483,1,No,Excellent,1,3,1,0,0,No
40,Travel_Frequently,1395,6726,Research & Development,Bachelor,Medical,Medium,Female,Research Scientist,Medium,Divorced,5605,1,No,Excellent,20,2,20,2,13,No
35,Travel_Rarely,662,8754,Sales,Doctor,Marketing,High,Male,Sales Executive,Medium,Married,7295,1,No,Excellent,10,3,10,0,6,No
53,Travel_Rarely,1436,2767,Sales,College,Marketing,Medium,Male,Sales Representative,High,Married,2306,2,Yes,Outstanding,13,3,7,4,5,No
45,Travel_Rarely,194,2818,Research & Development,Bachelor,Life Sciences,Medium,Male,Laboratory Technician,Medium,Divorced,2348,8,No,Excellent,20,2,17,0,15,No
32,Travel_Frequently,967,10798,Sales,Bachelor,Marketing,Medium,Female,Sales Executive,Very High,Single,8998,1,No,Excellent,9,2,9,3,7,No
29,Non-Travel,1496,5183,Research & Development,Below College,Technical Degree,Very High,Male,Manufacturing Director,High,Married,4319,1,No,Excellent,10,1,10,0,9,No
51,Travel_Rarely,1169,7358,Research & Development,Master,Medical,Medium,Male,Manufacturing Director,High,Married,6132,2,No,Excellent,10,2,1,0,0,No
58,Travel_Rarely,1145,4015,Research & Development,Bachelor,Medical,Medium,Female,Research Scientist,Medium,Married,3346,4,Yes,Outstanding,9,3,1,0,0,No
40,Travel_Rarely,630,13026,Sales,Master,Marketing,High,Male,Sales Executive,Very High,Married,10855,7,No,Excellent,15,2,12,2,11,No
34,Travel_Frequently,303,2677,Sales,Master,Marketing,High,Female,Sales Representative,High,Married,2231,6,No,Excellent,6,3,4,1,2,No
22,Travel_Rarely,1256,2788,Research & Development,Below College,Medical,High,Male,Research Scientist,Very High,Married,2323,1,No,Outstanding,2,6,2,2,2,No
27,Non-Travel,691,2429,Research & Development,Bachelor,Medical,Very High,Male,Research Scientist,Medium,Divorced,2024,6,No,Excellent,6,1,2,2,2,No
28,Travel_Rarely,440,3256,Research & Development,Bachelor,Medical,High,Male,Research Scientist,Very High,Married,2713,1,No,Excellent,5,2,5,0,2,No
57,Travel_Rarely,334,11327,Research & Development,College,Life Sciences,High,Male,Healthcare Representative,Very High,Divorced,9439,3,Yes,Excellent,12,2,5,1,4,No
27,Non-Travel,1450,3079,Research & Development,Bachelor,Medical,High,Male,Research Scientist,High,Divorced,2566,1,Yes,Excellent,1,2,1,0,1,No
50,Travel_Rarely,1452,23911,Research & Development,Bachelor,Life Sciences,High,Female,Manager,Medium,Single,19926,3,No,Excellent,21,5,5,4,4,No
41,Travel_Rarely,465,2941,Research & Development,Bachelor,Life Sciences,Low,Male,Research Scientist,High,Divorced,2451,4,No,Excellent,13,2,9,1,8,No
30,Travel_Rarely,1339,11303,Sales,Bachelor,Life Sciences,Medium,Female,Sales Executive,Very High,Married,9419,2,No,Excellent,12,2,10,7,4,No
38,Travel_Rarely,702,10423,Sales,Master,Life Sciences,Low,Female,Sales Executive,Very High,Single,8686,4,No,Outstanding,12,2,8,0,7,No
32,Travel_Rarely,120,3646,Research & Development,Doctor,Life Sciences,High,Male,Research Scientist,High,Single,3038,3,No,Outstanding,8,2,5,1,4,No
27,Travel_Rarely,1157,3670,Research & Development,Bachelor,Technical Degree,High,Male,Research Scientist,Medium,Married,3058,0,Yes,Excellent,6,3,5,1,1,No
19,Travel_Frequently,602,2790,Sales,Below College,Technical Degree,High,Female,Sales Representative,Low,Single,2325,0,No,Outstanding,1,5,0,0,0,Yes
36,Travel_Frequently,1480,2506,Research & Development,College,Medical,Very High,Male,Laboratory Technician,Medium,Single,2088,4,No,Excellent,13,3,8,7,2,No
30,Non-Travel,111,3686,Research & Development,Bachelor,Medical,High,Male,Laboratory Technician,Low,Divorced,3072,1,No,Excellent,12,4,12,6,10,No
45,Travel_Rarely,1268,6007,Sales,College,Life Sciences,High,Female,Sales Executive,Low,Divorced,5006,4,Yes,Excellent,9,3,5,0,3,No
56,Travel_Rarely,713,5108,Research & Development,Bachelor,Life Sciences,High,Female,Research Scientist,Low,Divorced,4257,4,Yes,Excellent,19,3,2,2,2,No
33,Travel_Rarely,134,3000,Research & Development,Bachelor,Life Sciences,High,Male,Research Scientist,Very High,Single,2500,0,No,Excellent,4,2,3,0,2,No
